IMPORTER NAME,IMPORTER ADDRESS,COUNTRY,HS CODE,PRODUCT DESCRIPTION,PRODUCT,MAPPED COMMODITY,PRICE 
PADGET ELECTRONICS PRIVATE LIMITED,PADGET ELECTRONICS PRIVATE LIMITED Address C 33 PHASE II NOIDA PHASE II GAUTAM BUDH NAGAR Contact No 91921,India,74101100,S948E32336 WT715001076091 TOP SHIELD COPPER FOIL COPPER FOIL FOR MANUFACTURING OF MOTOROLA MOBILE PHONE S948E32336 WT715001076091 TOP SHIELD COPPER FOIL COPPER FOI,S948E32336 WT715001076091 TOP,S948E32336 WT715001076091,Negotiable
TRINITY TOUCH PRIVATE LIMITED,TRINITY TOUCH PVT LTD D 10 DEFENCE COLONY NEW DELHI PIN 110024 ,India,74198090,FCC20 METALLIC FITTING FOR CONDUIT FU16 M16 M METALLIC FITTING FOR CONDUIT ,FCC20 METALLIC FITTING,FCC20 METALLIC,Negotiable
VIVO MOBILE INDIA PRIVATE LIMITED,VIVO MOBILE INDIA PVT LTD J 151 PARK PLACE GOLF COURSE ROAD DLF CITY PHASE 5 PIN 122002 ,India,74152100,3500567 SCREW WASHERS CUPRONICKEL PARTS FOR MFG OF MOBILE PHONE PCBA UNDER PROTEST 3500567 SCREW WASHERS CUPRONICKEL PARTSFORMFGOFMOBILEPHONEP,3500567 SCREW WASHERS,3500567 SCREW,Negotiable
VIVO MOBILE INDIA PRIVATE LIMITED,VIVO MOBILE INDIA PVT LTD J 151 PARK PLACE GOLF COURSE ROAD DLF CITY PHASE 5 PIN 122002 ,India,74198090,3544723 SHIELDING CASE CUPRONICKEL PARTS FOR MFG OF MOBILEPHONE PCBA 3544723 SHIELDINGCASE CUPRONICKEL PARTS FOR MFG OF MOBILE,3544723 SHIELDING CASE,3544723 SHIELDING,Negotiable
VIVO MOBILE INDIA PRIVATE LIMITED,VIVO MOBILE INDIA PVT LTD J 151 PARK PLACE GOLF COURSE ROAD DLF CITY PHASE 5 PIN 122002 ,India,74198090,3500909 BTBFIXEDSUPPORT CUPRONICKEL PARTSFORMFGOFMOBILEPHONEPCBA 3500909 BTBFIXEDSUPPORT CUPRONICKEL PARTSFORMFGOFMOBILEPHON,3500909 BTBFIXEDSUPPORT CUPRONICKEL,3500909 BTBFIXEDSUPPORT,Negotiable
IMI NORGREN HERION PRIVATE LIMITED,IMI NORGREN HERION P LTD C 151OKHLA INDUSTRIAL AREA PHASE I NEW DELHI PIN 110020 ,India,74122090,102471448 PFIT 14MM G1 2 90 SWI ELB ADPT SWIVEL ELBOW ADAPTOR PNEUMATIC PARTS 102471448 PFIT 14MM G1 2 90 SWI ELB ADPT SWIVEL ELBOW ADAPTO,102471448 PFIT 14MM,102471448 PFIT,Negotiable
PADGET ELECTRONICS PRIVATE LIMITED,PADGET ELECTRONICS PRIVATE LIMITED Address C 33 PHASE II NOIDA PHASE II GAUTAM BUDH NAGAR Contact No 91921,India,74101100,S948E32334 WT715001076071 BOTTOM shield copper foil COPPER FOIL FOR MFG OF MOTOROLA MOBILE PHONE S948E32334 WT715001076071 BOTTOM shield copper foil COPPER F,S948E32334 WT715001076071 BOTTOM,S948E32334 WT715001076071,Negotiable
TRINITY TOUCH PRIVATE LIMITED,TRINITY TOUCH PVT LTD D 10 DEFENCE COLONY NEW DELHI PIN 110024 ,India,74198090,FSU32 M32 M METALLIC FITTING FOR CONDUIT FU16 M16 M METALLIC FITTING FOR CONDUIT ,FSU32 M32 M,FSU32 M32,Negotiable
RIYA ELECTRODES PRIVATE LIMITED,RIYA ELECTRODES PVT LTD 103VIGYAPAN LOK APARTMENTS MAYUR VIHAR PHASE I EXTN DELHI PIN 110091 ,India,74112100,BRASS TUBES MULTI HOLE 3 0X400 FOR EDM MACHINE FOR EDM MACHINE ,BRASS TUBES MULTI,BRASS TUBES,Negotiable
VIVO MOBILE INDIA PRIVATE LIMITED,VIVO MOBILE INDIA PVT LTD J 151 PARK PLACE GOLF COURSE ROAD DLF CITY PHASE 5 PIN 122002 ,India,74198090,3544595 SHIELDING CASE CUPRONICKEL PARTS FOR MFG OF MOBILE PHONE PCBA 3544595 SHIELDING CASE CUPRONICKEL PARTS FOR MFG OF MOBIL,3544595 SHIELDING CASE,3544595 SHIELDING,Negotiable
PADGET ELECTRONICS PRIVATE LIMITED,PADGET ELECTRONICS PRIVATE LIMITED Address C 33 PHASE II NOIDA PHASE II GAUTAM BUDH NAGAR Contact No 91921,India,74101100,5470AA000966 Copper Foil BRAND REALME FOR MFG OF MOBILEPHONE CAPTIVE CONSUMPTION 5470AA000966 Copper Foil BRAND REALME FOR MFG OF MOBILE,5470AA000966 Copper Foil,5470AA000966 Copper,Negotiable
OPPO MOBILES INDIA PRIVATE LIMITED,OPPO MOBILES INDIA PVT LTD F 16 OKHLA INDUSTRIAL AREA PHASE I NEW DELHI PIN 110020 ,India,74198090,612702000476 CONDUCTIVE COPPER SHEET PART FOR MFG OF MOBILE PHONE CONDUCTIVE COPPER SHEET,612702000476 CONDUCTIVE COPPER,612702000476 CONDUCTIVE,Negotiable
VIVO MOBILE INDIA PRIVATE LIMITED,VIVO MOBILE INDIA PVT LTD J 151 PARK PLACE GOLF COURSE ROAD DLF CITY PHASE 5 PIN 122002 ,India,74198090,3544686 SHIELDING CASE CUPRONICKEL PARTS FOR MFG OF MOBILE PHONE PCBA 3544686 SHIELDING CASE CUPRONICKEL PARTS FOR MFG OF MOBIL,3544686 SHIELDING CASE,3544686 SHIELDING,Negotiable
SANDVIK MINING AND ROCK TECHNOLOGY INDIA PRIVATE L,SANDVIK MINING AND ROCK TECHNOLOGY INDIAPRIVATE LI Address C O SANDVIK ASIA PRIVATE LIMITED MUMBAI PUNE ROAD DAPODI,India,74198090,PIECE 20467788 MINING MACHINERY PARTS AND CRUSHER MACHINERY PARTS FOR INDUSTRIAL USE PIECE 20467788 MINING MACHINERY PARTS AND CRUSHER MA,PIECE 20467788 MINING,PIECE 20467788,Negotiable
IDEASTORMERS ELECTRONICS INDIA PRIVATE LIMITED,IDEASTORMERS ELECTRONICS INDIA PRIVATE LIMITEDPLOT NO 208 HSIIDC SECTOR 16,India,74102200,P08 POR2663 Black Graphene Copper foil 33 98 7 0 1mm PARTS FOR POWER BANK P08 POR2663 Black Graphene Copper foil 33 98 7 0 1mm PART,P08 POR2663 Black,P08 POR2663,Negotiable
PADGET ELECTRONICS PRIVATE LIMITED,PADGET ELECTRONICS PRIVATE LIMITED Address C 33 PHASE II NOIDA PHASE II GAUTAM BUDH NAGAR Contact No 91921,India,74101100,5470AA000954 Copper Foil BRAND Realme FOR MFG OF MOBILE PHONE CAPTIVE CONSUMPTION 5470AA000954 Copper Foil BRAND Realme FOR MFG OF MOBI,5470AA000954 Copper Foil,5470AA000954 Copper,Negotiable
BHAGWATI PRODUCTS LIMITED,BHAGWATI PRODUCTS LTD 205MANGALAM A 24HEMANTA BASU SARANI KOLKATAW B PIN 700001 ,India,74102200,HQ25803001VW0 Copper foil CU Foil DRX 10 93 mm 8 08 mm 0 1mm 0 5 PART FOR MFG OF PCBA OF CELLULAR MOBILE PHONE HQ25803001VW0 Copper foil CU Foil DRX 10 93 mm 8 08 mm 0 1,HQ25803001VW0 Copper foil,HQ25803001VW0 Copper,Negotiable
POWERDEALS INTERNATIONAL,POWERDEALS INTERNATIONAL B 472 NEW FRIENDS COLONY NEW DELHI PIN 110025 ,India,74198030,RE IMPORT AFTER EXHIBITION ASSORTED ITEMS BRASS GLASS RESINMAGNIFYING GLASSES PAPER KNIFES CORK BOTTLE ETC AS PER INVREIMPORT AFTER EXHIBITION,RE IMPORT AFTER,RE IMPORT,Negotiable
ACPL EXPORTS PRIVATE LIMITED,ACPL EXPORTS PVT LTD X 33 OKHLA INDUSTRIAL AREA PHASE II NEW DELHI PIN 110020 ,India,74153990,HEXAGON COLUMN FIXTURE 6 2G PCS MODEL M MS SNP3003 SPARE PARTS FOR AUTOMATIC MOSAIC MACHINE S P FOR AUTOMATIC MOSAIC MACHINE,HEXAGON COLUMN FIXTURE,HEXAGON COLUMN,Negotiable
BHAGWATI PRODUCTS LIMITED,BHAGWATI PRODUCTS LTD 205MANGALAM A 24HEMANTA BASU SARANI KOLKATAW B PIN 700001 ,India,74198090,HQ26910003PZ2 Shielding Case MT285 MS1710M SENSOR Cupronickel With Composite Insulating Film ARB PART FOR MFG OF PCBA OHQ26910003PZ2 Shielding Case MT285 MS1710M SENSOR Cupronicke,HQ26910003PZ2 Shielding Case,HQ26910003PZ2 Shielding,Negotiable
SIEMENS HEALTHCARE PRIVATE LIMITED,SIEMENS HEALTHCARE PRIVATE LIMITED Address UNIT NO 9 9TH FLOOR NORTH WING GODREJ ONE PIROJSHAH NAGAR ,India,74122019,110274402 ASSEMBLY SWIVEL OUTLET PARTS FOR LIFE SAVING RADIOTHERAPY LINEAR ACCELERATOR,110274402 ASSEMBLY SWIVEL,110274402 ASSEMBLY,Negotiable
SIEMENS HEALTHCARE PRIVATE LIMITED,SIEMENS HEALTHCARE PRIVATE LIMITED Address UNIT NO 9 9TH FLOOR NORTH WING GODREJ ONE PIROJSHAH NAGAR ,India,74152100,P1016310001 WASHER EMI MESH PARTS FOR LIFE SAVING RADIOTHERAPY LINEAR ACCELERATOR,P1016310001 WASHER EMI,P1016310001 WASHER,Negotiable
SESOTEC INDIA PRIVATE LIMITED,S S INSPECTION INDIA PRIVATE LIMITED SHATRUNJAY APARTMENT SHOP NO 4 amp 5 A WING PLOT NO 22 S NO 120 SINHGAD ROAD PUNE MAH PIN 411030 ,India,74198090,12000195 TEST MINISTICK NONFE 3 500 MM BRASS COO GERMANY 12000195 TEST MINISTICK NONFE 3 500 MM BRASS COO GERMANY,12000195 TEST MINISTICK,12000195 TEST,Negotiable
WIPRO PARI ROBOTICS PRIVATE LIMITED,WIPRO PARI ROBOTICS PRIVATE LIMITEDNear Hotel Vaishali Gat no 463A2 8 to 463A2 11 partial   463A2 15 and 463A2 16 Dhangarwadi Village Mumbai bangalore Highway Shirwal   SHIRWAL  SATARA   MAHARASHTRA   412801 ,India,74198090,2030024069382 53 34 REAR ADJUSTMENT SEAT ITEM CODE P24APR2000082030024069382 53 34 REAR ADJUSTMENT SEAT ITEM CODE P24APR200,2030024069382 53 34,2030024069382 53,Negotiable
MERCEDES BENZ INDIA PRIVATE LIMITED,MERCEDES BENZ INDIA PVT LIMITED E 3MIDC CHAKAN PHASE IIICHAKAN INDL AREAKURULI NIGHOJECHAKAN PUNE MAH PIN 410501 ,India,74198090,SEALING RING N007603012102 SEALING RING N007603012102,SEALING RING N007603012102,SEALING RING,Negotiable
GE OIL GAS INDIA PRIVATE LIMITED,DRESSER VALVE INDIA PVT LTD S F NO 608CHETTIPALAYAM ROAD P O ECHNARICOIMBATORE TAMILNADU PIN 641021 ,India,74198090,8579970 CU FILTER 08X144X149MM 8579970 CU FILTER 08X144X149MM,8579970 CU FILTER,8579970 CU,Negotiable
SP ARMADA OIL EXPLORATION PRIVATE LIMITED,SP ARMADA OIL EXPLORATION PRIVATE LTD 70 NAGINDAS MASTER RD FORT MUMBAI PIN 400023 ,India,74198090,CABLE GLAND M25 COO FRANCE CABLE GLAND M25 COO FRANCE ,CABLE GLAND M25,CABLE GLAND,Negotiable
BPW TRAILER SYSTEMS INDIA PRIVATE LIMITED,BPW TRAILER SYSTEMS INDIA PVT LTD INDO GERMAN CHAMBER OF COMMERCE FIRST FLRMAKER TOWER ECUFFE PARADEMUMBAI PIN 400005 ,India,74122011,S2691 02 00 621184 8 M12 FITTINGS TO PNEUMATIC BRAKING SYSTEMS OF THE VEHICLESS S2691 02 00 621184 8 M12 FITTINGS TO PNEUMATIC BRAKING SYS,S2691 02 00,S2691 02,Negotiable
HAFELE INDIA PRIVATE LIMITED,HAFELE INDIA PVT LTD OFFICE NO 3 BLDG A BETA 1 THINK TECHNO CAMPUS KANJURMARG E MUMBAI MAHARASHTRA PIN 400042 ,India,74198090,NOZZLE N1A 120 861822 NOZZLE N1A 120 861822,NOZZLE N1A 120,NOZZLE N1A,Negotiable
HITACHI ENERGY INDIA LIMITED,HITACHI ENERGY INDIA LIMITED Address 8TH FLOOR BRIGADE OPUS 70 401 KO DIGEHALLI MAIN ROAD,India,74101200,ETP COPPER FOIL E CU58 BS C101 SOFT ANNEALED ROLL CLAD TINNED ON BOTH SIDES 1HYN425026P9l ETP COPPER FOIL E CU58 BS C101 SOFT ANNEALED ROLL CLAD T,ETP COPPER FOIL,ETP COPPER,Negotiable
ASIAN PAINTS LIMITED,ASIAN PAINTS LTD 6A SHANTINAGAR SANTACRUZ EAST MUMBAI MAHARASHTRA PIN 400055 ,India,74182010,RAIL CM 45 FINISH 57 000RL45FN ACCESSORIES RAIL CM 45 FINISH 57 ,RAIL CM 45,RAIL CM,Negotiable
FOURVAC TECHNOLOGIES,FOURVAC TECHNOLOGIES Address PLOT NO T 165 03 08 PRIYADARSHANI MAHILA SWAYAMROJGAR INDL PREM CO OP,India,74153990,A2415010CU000250ZZ COPPER SEAL CF250 12 2 1T A2415010CU000250ZZ COPPER SEAL CF250 12 2 1T,A2415010CU000250ZZ COPPER SEAL,A2415010CU000250ZZ COPPER,Negotiable
RIETER INDIA PRIVATE LIMITED,RIETER INDIA PVT LTD 134 1VADHU ROAD OFF PUNE NAGAR ROADKOREGAON BHIMA TALUKA SHIRURDISTT PUNE MAHARASHTRA PIN 412216 ,India,74122019,159 001 494 ANGULAR CONNECTING PARTS FOR TEXTILE MACHINERY 159 001 494 ANGULAR CONNECTING PARTS FOR TEXTILE MACHINERY ,159 001 494,159 001,Negotiable
BPW TRAILER SYSTEMS INDIA PRIVATE LIMITED,BPW TRAILER SYSTEMS INDIA PVT LTD INDO GERMAN CHAMBER OF COMMERCE FIRST FLRMAKER TOWER ECUFFE PARADEMUMBAI PIN 400005 ,India,74122011,S1942 1 02 00 621187 12 M22 FITTINGS TO PNEUMATIC BRAKING SYSTEMS OF THE VEHICLESS S1942 1 02 00 621187 12 M22 FITTINGS TO PNEUMATIC BRAKING,S1942 1 02,S1942 1,Negotiable
BELDEN INDIA PRIVATE LIMITED,BELDEN INDIA PVT LTD 1007 10TH FLOOR IRIS TECH PARK SECTOR 48 SOHNA ROAD GURGAON PIN 122014 ,India,74153390,51150 Contact 0625C03 03 51150 Contact 0625C03 03,51150 Contact 0625C03,51150 Contact,Negotiable
WISKA INDIA PRIVATE LIMITED,WISKA INDIA PVT LTD CHAWLA COMPLEX PREMISES CHS PLOT NO 38SECTOR 15CBD BELAPUR NAVI MUMBAI PIN 400614 ,India,74198090,10104296 EMSKV 20 RW SPRINT R CABLE GLAND METRIC PROTECTIONCLASS TO EN 60529 IP68 5BAR 30MIN IP69 TESTED ACCORDING10104296 EMSKV 20 RW SPRINT R CABLE GLAND METRIC PROTECTION,10104296 EMSKV 20,10104296 EMSKV,Negotiable
ASIAN PAINTS LIMITED,ASIAN PAINTS LTD 6A SHANTINAGAR SANTACRUZ EAST MUMBAI MAHARASHTRA PIN 400055 ,India,74182010,DIVA RAIL W SOAP DISPENSER CHROME 000DV69D08 DIVA COLLECTION DIVA RAIL W SOAP DISPENSER CHROME ,DIVA RAIL W,DIVA RAIL,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74182010,RP61058 SHOWER ARM CEILING MOUNT BATHROOM FITTING RP61058 SHOWER ARM CEILING MOUNT BATHROOM FITTING ,RP61058 SHOWER ARM,RP61058 SHOWER,Negotiable
SESOTEC INDIA PRIVATE LIMITED,S S INSPECTION INDIA PRIVATE LIMITED SHATRUNJAY APARTMENT SHOP NO 4 amp 5 A WING PLOT NO 22 S NO 120 SINHGAD ROAD PUNE MAH PIN 411030 ,India,74198090,12000196 TEST MINISTICK NONFE 4 000 MM BRASS COO GERMANY 12000196 TEST MINISTICK NONFE 4 000 MM BRASS COO GERMANY,12000196 TEST MINISTICK,12000196 TEST,Negotiable
RADIUM CREATION PRIVATE LIMITED,RADIUM CREATION LTD C 32 TTC INDUSTRIAL AREAMIDC PAWANE NAVI MUMBAI PIN 400705 ,India,74198030,CUP PIPE BRASS PARTS 8572 PCS CUP PIPE BRASS PARTS 8572 PCS ,CUP PIPE BRASS,CUP PIPE,Negotiable
WAGO PRIVATE LIMITED,WAGO LIMITED C 4 5 LOWER GROUND FLOOR SAFDARJUNG DEVELOPMENT AREA NEW DELHI PIN 110016 ,India,74198090,PE FOOT WITH SPRING 498 280 001 000 51126528 FOR MANUFACTURING OF TERMINAL BLOCK PE FOOT WITH SPRING 498 280 001 000 51126528 FOR MANUFACT,PE FOOT WITH,PE FOOT,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74122090,RP76775PN NEST OUTLET WALL MOUNT BATHROOM FITTING RP76775PN NEST OUTLET WALL MOUNT BATHROOM FITTING ,RP76775PN NEST OUTLET,RP76775PN NEST,Negotiable
ANDRITZ HYDRO PRIVATE LIMITED,ANDRITZ HYDRO PRIVATE LIMITED D 17 MPAKVN INDUSTRIAL AREA MANDIDEEP RAISEN M P PIN 462046 ,India,74198090,132841795 SOLDER FOIL 0 2 X 60 CP102 HARD EN1044 B CU80AGP 645 800132841795 SOLDER FOIL 0 2 X 60 CP102 HARD EN1044 B CU80AGP ,132841795 SOLDER FOIL,132841795 SOLDER,Negotiable
SIEMENS LIMITED,SIEMENS LTD 130 PANDURANG BUDHKAR MARG WORLI MUMBAI MAHARASHTRA PIN 400018 ,India,74198090,A7E0088300260 FUSECLIP CONTACT SPRING A7E0088300260 FUSECLIP CONTACT SPRING,A7E0088300260 FUSECLIP CONTACT,A7E0088300260 FUSECLIP,Negotiable
ASIAN PAINTS LIMITED,ASIAN PAINTS LTD 6A SHANTINAGAR SANTACRUZ EAST MUMBAI MAHARASHTRA PIN 400055 ,India,74182010,EQUILIBRIUM TUBLER STRIPE MATT GOLD 000EQDC10APFN EQUILIBRIUM MATT GOLD MARBLE EQUILIBRIUM TUBLER STRIPE MATT GOLD ,EQUILIBRIUM TUBLER STRIPE,EQUILIBRIUM TUBLER,Negotiable
BITZER INDIA PRIVATE LIMITED,BITZER INDIA PRIVATE LIMITED R 708 1 T T C MIDC RABALE NAVI MUMBAI PIN 400701 ,India,74152100,PARTS FOR COMPRESSOR Washer DIN 125 B10 5 Ms WASHER 38200204 PARTS FOR COMPRESSOR Washer DIN 125 B10 5 Ms WASHER 38200,PARTS FOR COMPRESSOR,PARTS FOR,Negotiable
HANSGROHE INDIA PRIVATE LIMITED,HANSGROHE INDIA PRIVATE LIMITED OFICE NO 601 604 6TH FLR LUNKAD SKYSTATION VIMAN NAGAR PUNE MAH PIN 411014 ,India,74182020,93106000 HG HG SYMBOL HAND SHOWER RAINSELECT CHROME 93106000 HG HG SYMBOL HAND SHOWER RAINSELECT CHROME,93106000 HG HG,93106000 HG,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74182010,81422 PNTK 2 5 RECTANGULAR RAINCAN SHOWERHEAD 2 5 GPM BATHROOM FITTING 81422 PNTK 2 5 RECTANGULAR RAINCAN SHOWERHEAD 2 5 GPM B,81422 PNTK 2,81422 PNTK,Negotiable
SCHMERSAL INDIA PRIVATE LIMITED,SCHMERSAL INDIA PRIVATE LIMITED 205 18 12 W E A KAROL BAGH NEW DELHI PIN 110005 ,India,74198090,CLAMPING PRESSURE PIECE S0 PLATED COMPONENT SPARE PART 101077431 INDUSTRIAL USE CLAMPING PRESSURE PIECE S0 PLATED COMPONENT SPARE PART 10,CLAMPING PRESSURE PIECE,CLAMPING PRESSURE,Negotiable
SCHMALZ INDIA PRIVATE LIMITED,SCHMALZ INDIA PVT LTD PLOT NO 38 J BLOCKMIDC BHOSARI PUNE MAHARASHTRA PIN 411026 ,India,74122019,HOLLOW SCHR MS SCP SMP 10 02 02 01017 VACUUM COMPONENTS,HOLLOW SCHR MS,HOLLOW SCHR,Negotiable
LA NICHE LLP,LA NICHE LLPUNIT NO 805 8TH FLOOR HUBTOWN SOLARIS N S PHADKE ROAD ANDHERI EAST ,India,74181039,OLIMPIA ROUND TOOTHBRUSH HOLDER DIAM 6 5X H 11 CM QTY 1NOS OLIMPIA ROUND TOOTHBRUSH HOLDER,OLIMPIA ROUND TOOTHBRUSH,OLIMPIA ROUND,Negotiable
FOURVAC TECHNOLOGIES,FOURVAC TECHNOLOGIES Address PLOT NO T 165 03 08 PRIYADARSHANI MAHILA SWAYAMROJGAR INDL PREM CO OP,India,74153990,A2415010CU0G0050ZZ COPPER SEAL DN50 3 38 2 1T A2415010CU0G0050ZZ COPPER SEAL DN50 3 38 2 1T,A2415010CU0G0050ZZ COPPER SEAL,A2415010CU0G0050ZZ COPPER,Negotiable
PRECIOUS ALLOYS PRIVATE LIMITED,PRECIOUS ALLOYS PVT LTD UNIT NO 1 A WING 9TH FLR TIMES SQUARE BLDG A K ROAD MAROL ANDHERI EAST MUMBAI PIN 400059 ,India,74032900,WH80B2 WHITE ALLOY FOR 14 18 KT CASTING PKG 500G I REF WH80B2 500G WH80B2 WHITE ALLOY FOR 14 18 KT CASTING PKG 500G I REF ,WH80B2 WHITE ALLOY,WH80B2 WHITE,Negotiable
WAGO PRIVATE LIMITED,WAGO LIMITED C 4 5 LOWER GROUND FLOOR SAFDARJUNG DEVELOPMENT AREA NEW DELHI PIN 110016 ,India,74071090,BUSBAR 210 133 51170633 FOR MANUFACTURING OF TERMINAL BLOCK BUSBAR 210 133 51170633 FOR MANUFACTURING OF TERMINAL BLO,BUSBAR 210 133,BUSBAR 210,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74182010,RP100196CZ TUB SPOUT DIVERTER BATHROOM FITTING RP100196CZ TUB SPOUT DIVERTER BATHROOM FITTING ,RP100196CZ TUB SPOUT,RP100196CZ TUB,Negotiable
SHUBHADA POLYMERS PRODUCTS PRIVATE LIMITED,SHUBHADA POLYMERS PRODUCTS PVT LTD CTS IIISAKI VIHAR ROAD POWAI MUMBAI MAHARASHTRA PIN 400072 ,India,74153390,BRASS INSERT CAST IN SLEEVE ITEM CODE 22200961 BRASS INSERT CAST IN SLEEVE ITEM CODE 22200961,BRASS INSERT CAST,BRASS INSERT,Negotiable
MISUMI INDIA PRIVATE LIMITED,MISUMI INDIA PVT LTD 3RD FL ONYX BUILDING NORTH MAIN ROAD KOREGAON PARIK PUNE MAH PIN 411001 ,India,74122090,COPPER TUBE JOINT M PC12 03 STANDARD COMPONENTS FOR PRESS DIE AND PLASTIC MOULDS ,COPPER TUBE JOINT,COPPER TUBE,Negotiable
ASIAN PAINTS LIMITED,ASIAN PAINTS LTD 6A SHANTINAGAR SANTACRUZ EAST MUMBAI MAHARASHTRA PIN 400055 ,India,74182010,EQUILIB PAPER HOLDER MARBLE MATT GOLD 000EQM1118 EQUILIBRIUM MATT GOLD MARBLE EQUILIB PAPER HOLDER MARBLE MATT GOLD ,EQUILIB PAPER HOLDER,EQUILIB PAPER,Negotiable
BPW TRAILER SYSTEMS INDIA PRIVATE LIMITED,BPW TRAILER SYSTEMS INDIA PVT LTD INDO GERMAN CHAMBER OF COMMERCE FIRST FLRMAKER TOWER ECUFFE PARADEMUMBAI PIN 400005 ,India,74122011,S1879 1 02 00 621185 8 M16 FITTINGS TO PNEUMATIC BRAKING SYSTEMS OF THE VEHICLESS S1879 1 02 00 621185 8 M16 FITTINGS TO PNEUMATIC BRAKING S,S1879 1 02,S1879 1,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74122090,50570 KS PR WALL ELBOW SQUARE HAND SHOWER BATHROOM FITTING 50570 KS PR WALL ELBOW SQUARE HAND SHOWER BATHROOM FI,50570 KS PR,50570 KS,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74122090,RP76775BL NEST OUTLET WALL MOUNT BATHROOM FITTING RP76775BL NEST OUTLET WALL MOUNT BATHROOM FITTING ,RP76775BL NEST OUTLET,RP76775BL NEST,Negotiable
HANSGROHE INDIA PRIVATE LIMITED,HANSGROHE INDIA PRIVATE LIMITED OFICE NO 601 604 6TH FLR LUNKAD SKYSTATION VIMAN NAGAR PUNE MAH PIN 411014 ,India,74182020,93106450 HG HG SYMBOL HAND SHOWER RAINSELECT WHITE 93106450 HG HG SYMBOL HAND SHOWER RAINSELECT WHITE,93106450 HG HG,93106450 HG,Negotiable
WARTSILA INDIA PRIVATE LIMITED,WARTSILA INDIA PVT LTD KESAR SOLITAIRE 21 FL PLOT NO 5 SECPALM BEACH RD SANPADA NAVI MUMBAI PIN 400705 ,India,74198090,M25 MALE M20 FEMALE REDUCER 882 220 0 PAAG454110 8822200 ANAMET NICKEL PLATED BRASS REDUCER INSIDE M 20 X 1 5 OUTSIDM25 MALE M20 FEMALE REDUCER 882 220 0 PAAG454110 8822200 A,M25 MALE M20,M25 MALE,Negotiable
HAL OFFSHORE LIMITED,HAL OFFSHORE LTD 25 BAZAR LANE BENGALIMARKET NEW DELHI PIN 0 ,India,74122019,3 8 X 1 4 DDB PARKER 3 8 NPT FEMALE 90 DEG ELBOW BRASS 14 EACH SHIPS SPARE IN TRANSIT MV DSV SEAMEC ANANT SHIPS SPARE IN TRANSIT,3 8 X,3 8,Negotiable
DELTA FAUCET COMPANY INDIA PRIVATE LIMITED,DELTA FAUCET COMPANY INDIA PRIVATE LIMITED NO 2 FRONTLINE GRANDEUR 14 WALTON ROAD BANGALORE PIN 560001 ,India,74122090,50560 BL WALL ELBOW HAND SHOWER BATHROOM FITTING 50560 BL WALL ELBOW HAND SHOWER BATHROOM FITTING ,50560 BL WALL,50560 BL,Negotiable
WARTSILA INDIA PRIVATE LIMITED,WARTSILA INDIA PVT LTD KESAR SOLITAIRE 21 FL PLOT NO 5 SECPALM BEACH RD SANPADA NAVI MUMBAI PIN 400705 ,India,74198090,8140201 ANACONDA FITTING STRAIGHT MALE THREAD FOR SEALTITE 3 4 NPT 3 4 MAT NICKEL PLATED BRASS ROHS COMPLIANT UL8140201 ANACONDA FITTING STRAIGHT MALE THREAD FOR SEALTIT,8140201 ANACONDA FITTING,8140201 ANACONDA,Negotiable
KOHLER INDIA CORPORATION PRIVATE LIMITED,KOHLER INDIA CORPORATION PVT LTD 138 6 6TH A CROSS RMV EXTENSION SADASHIVANAGARBANGALORE KARNATAKA PIN 560080 ,India,74182020,1218199 WEIGHT 1218199 WEIGHT,1218199 WEIGHT 1218199,1218199 WEIGHT,Negotiable
HAL OFFSHORE LIMITED,HAL OFFSHORE LTD 25 BAZAR LANE BENGALIMARKET NEW DELHI PIN 0 ,India,74122019,24 CTX B PARKER 24 JIC TO 1 1 2 NPT MALE ELBOW 90 DEG BRASS 16 EACH SHIPS SPARE IN TRANSIT MV DSV SEAMEC ANANT SHIPS SPARE IN TRANSIT,24 CTX B,24 CTX,Negotiable
